business,category,subcategory,question,answer
bancobogota,Tarjeta Débito,QA,¿Cómo adquirir una Tarjeta Débito del Banco de Bogotá?,"La Tarjeta Débito del Banco de Bogotá te brinda muchos beneficios, adquirirla es muy sencillo, si tienes una cuenta con nosotros acércate a la Oficina donde realizaste la apertura de la cuenta y solicita tu Tarjeta Débito. Si aún no tienes cuenta, te invitamos a visitar las Oficinas más cercanas y abrir tu cuenta con Tarjeta Débito"
bancobogota,Tarjeta Débito,QA,¿Dónde puedo usar mi Tarjeta Débito Banco de Bogotá?,"Realiza tus compras sin restricciones a nivel nacional e internacional, la Tarjeta Débito del banco puede ser utilizada en cualquier comercio que esté identificado con el logo de VISA. Adicionalmente ten presente que éste tipo de transacciones no tienen un costo adicional. <br>
Además tienes nuestra red de Cajeros Automáticos de la Red Aval la cual cuenta con más de 3.700 puntos con tarifa unificada (Banco de Occidente, Banco Popular, AV Villas, Banco de Bogotá). <br>
También puedes hacer consultas, pagos o transferencias desde la comodidad de tu casa u oficina, ingresando a www.bancodebogota.com.co o llamando a la Servilínea de tu ciudad."
bancobogota,Tarjeta Débito,QA,¿Cómo obtener una nueva Tarjeta Débito a causa de robo o daño?,"Pensando en tu seguridad te recomendamos bloquear inmediatamente tu Tarjeta, este procedimiento puedes hacerlo por Internet, comunicándote con la Servilínea de tu ciudad o acercándote a cualquiera de nuestras Oficinas. <br>
Una vez reportada la situación ante la entidad bancaria podrás solicitar una nueva Tarjeta Débito, acercándote a cualquiera de nuestras oficinas y allí podrás solicitar una nueva Tarjeta Débito."
bancobogota,Tarjeta Débito,QA,¿Qué valor máximo puedo retirar diariamente en Cajeros Automáticos?,Con tus Tarjetas Débito el limite diario para retiros en Cajeros Automáticos a nivel nacional es de $2.000.000.
bancobogota,Tarjeta Débito,QA,¿Cómo cambiar mi clave secreta de la Tarjeta Débito?,"Pensando en tu seguridad te recomendamos cambiar periódicamente la clave de tu Tarjeta Débito por medio de canales electrónico autorizados por banco como cajeros Red Aval, Internet, Agilizadores o a través de la Servilínea de tu ciudad. Este cambio no genera ningún costo y podrás realizarlo todas las veces que lo creas conveniente."
bancobogota,Tarjeta de Crédito,QA,¿Puedo hacer abonos extraordinarios a mi Tarjeta de Crédito?,"Se podrán realizar abonos extraordinarios a capital o pagos totales de las deudas; los cuales se aplicarán al saldo de las obligaciones/utilizaciones que tenga vigentes. Estos pagos adicionales, liberan cupo disponible para que lo pueda utilizar cuando lo necesite."
bancobogota,Tarjeta de Crédito,QA,¿Cómo utilizar el programa de puntos?,"Las compras con la Tarjeta Platinum Banco de Bogotá te ayudan a acumular (1) punto por cada dólar (US$1) o su equivalente en moneda local. Puntos que podrás redimir por Tiquetes Aéreos, Alojamiento en Hoteles y alquiler de vehículos. Comprar con la Tarjeta Platinum le brinda increíbles beneficios."
bancobogota,Tarjeta de Crédito,QA,¿Cómo solicitar la clave de mi Tarjeta de Crédito?,Si requieres la clave de tu Tarjeta Crédito comunícate con el banco a través de los medios electrónicos que tenemos disponibles como Oficinas o la Servilínea de tu ciudad.
bancobogota,Tarjeta de Crédito,QA,Cuando utilizo mi Tarjeta de Crédito en el exterior ¿Qué cobros me genera el Banco?,"Ten presente que al utilizar tu Tarjeta de Crédito en el exterior el cobro de la cuota de manejo se realizará en dólares dependiendo el producto que tengas. <br><br>
<table class=""table-bordered table-striped table-condensed cf table"" id=""mtg"">
<tbody><tr class=""fila-title"">
<th>Nombre de Tarjeta</th>
<th>Valor Cuota</th>
</tr>
<tr>
<td>Clásica</td>
<td>US $25</td>
</tr>
<tr>
<td>Gold</td>
<td>US $30</td>
</tr>
<tr>
<td>Platinum</td>
<td>US $35</td>
</tr>
</tbody></table>"
bancobogota,Tarjeta de Crédito,QA,¿Toda transacción con mi Tarjeta de Crédito genera cobro de Intereses?,"Avances, Pago de Impuestos, Compras en estaciones de Gasolina y Compras diferidas generan cobro de intereses, a excepción de las compras que difieras a una cuota y las canceladas dentro de tu fecha límite de pago, en caso de no cancelarla dentro de este periodo se efectuara el cobro de intereses."
bancobogota,Crédito de Vehículo,QA,¿Qué vehículo me financia el banco de Bogotá?,"Con el banco de Bogotá podrás financiar el vehículo de tu preferencia, ya sea particular, de servicio publico o comercial y sin importar si es nuevo o usado."
bancobogota,Crédito de Vehículo,QA,¿El Banco de Bogotá me financia un vehículo de marca china?,"Si, se financian vehículos de marcas chinas siempre y cuando sean nuevos."
bancobogota,Crédito de Vehículo,QA,¿El carro debe quedar con prenda?,En el banco de Bogotá queremos darte las mejores condiciones del mercado por esa razón es necesario que el vehículo quede con prenda a favor del Banco.
bancobogota,Crédito de Vehículo,QA,¿Necesito tener historial crediticio?,No es necesario que tengas experiencia crediticia.
bancobogota,Crédito de Vehículo,QA,¿El estudio de crédito tiene costo?,El estudio de crédito no tiene ningún costo
bancobogota,El Banco,QA,Cuando un cajero automático del Banco de Bogotá me dispense un billete falso ¿Qué debo hacer?,"Acérquese a una oficina del Banco. <br>
Diligencie el formato de billetes o monedas retenidas por presunción de falsedad, adjuntando el billete y el comprobante de retiro (si lo conserva).<br>
Recuerde que la reclamación se recibe máximo dos (2) días después de haber realizado el retiro.<br>
Si el cajero dispensador es de otro Banco, por favor realice su reclamación ante dicha entidad.<br>"
bancobogota,El Banco,QA,"¿Cómo puedo manifestarle al Banco una inconformidad, solicitud o sugerencia?","Conoce todos los canales de atención que tenemos a tu disposición e informarte sobre el proceso de radicación, consulta y/o respuesta para una solicitud, queja o reclamo, <a href=""https://www.bancodebogota.com/wps/themes/html/banco-de-bogota/landings/pqrs/index.html"" target=""_blank"">haz clic aquí</a>"
bancobogota,El Banco,QA,¿En cuánto tiempo recibo la respuesta a una queja?,"El tiempo de respuesta para cada caso varía según el tipo de inconformidad, situación o proceso. El tiempo exacto de respuesta a una queja será informando por medio de la Servilínea de su ciudad, trabajamos para dar respuesta oportunas."
bancobogota,El Banco,QA,"Sí realizo una transacción un sábado, domingo o festivo, ¿cuándo se verá reflejada en mis movimientos o extractos?","Las transacciones realizadas un sábado, domingo o festivo se verán reflejas en tus movimientos el siguiente día hábil."
bancobogota,El Banco,QA,"Quiero comunicarme con el Banco o realizar una transacción a través del chat de Nova, pero no lo encuentro.","A partir del 8 de abril el canal de Nova Asistente Virtual y el chat con asesor fue deshabilitado, ahora podrás comunicarte con nosotros a través de WhatsApp al número 3182814679."
